State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
CH,CHANDIGARH,Maize,Kharif,2.2,2.2,2.28,2.28,2,2,,,,,
CH,CHANDIGARH,Onion,Whole Year,18.666666666666668,17.5,30,28.333333333333332,26.666666666666668,20,,,,,
CH,CHANDIGARH,Potato,Whole Year,20,16.5,16.6,16.6,15,15.5,,,,,
CH,CHANDIGARH,Rice,Kharif,5.15,5.15,5.25,5.3,5,5.15,5.25,5.5,5.3,,
CH,CHANDIGARH,Wheat,Rabi,4.525,4.541666666666667,4.504347826086956,4.521739130434782,4.545454545454546,4.6,4.7,4.6996336996337,5,,
