State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
PB,AMRITSAR,Arhar/Tur,Kharif,1,1,1,1,0.9,1,0.75,1,1,,
PB,BARNALA,Arhar/Tur,Kharif,1,1,1,1,0.9,,1,1,1,,
PB,BATHINDA,Arhar/Tur,Kharif,,,,,,,1,,,,
PB,FARIDKOT,Arhar/Tur,Kharif,1,,,,,,1,,,,
PB,FAZILKA,Arhar/Tur,Kharif,,,,,,,0.875,1.5,,,
PB,FIROZEPUR,Arhar/Tur,Kharif,,,1,,,,,1,,,
PB,HOSHIARPUR,Arhar/Tur,Kharif,,1,1,,,,,,,,
PB,JALANDHAR,Arhar/Tur,Kharif,1,1,1,1,0.875,1.025,1,1,1,,
PB,LUDHIANA,Arhar/Tur,Kharif,0.9090909090909091,0.875,8,0.8888888888888888,1.0857142857142856,1.0714285714285714,0.7142857142857143,1,1,,
PB,MANSA,Arhar/Tur,Kharif,,,,,,,1,,,,
PB,MOGA,Arhar/Tur,Kharif,1.2,1,0.6666666666666666,1,0.5,1,1,1,1.3333333333333333,,
PB,MUKTSAR,Arhar/Tur,Kharif,,,,,,,0.8,1,,,
PB,PATIALA,Arhar/Tur,Kharif,,,1,,,,,,,,
PB,RUPNAGAR,Arhar/Tur,Kharif,0.8333333333333334,1,,,0.9,1,1,,,,
PB,S,Arhar/Tur,Kharif,1,1,1,1,0.9333333333333333,1,1,1,1,,
PB,SANGRUR,Arhar/Tur,Kharif,0.75,0.75,0.75,0.75,1.2333333333333334,1.1,1,1,1,,
PB,TARN TARAN,Arhar/Tur,Kharif,0.8,0.6,1,0.75,0.5666666666666667,0.85,0.5,1,1,,
PB,AMRITSAR,Bajra,Kharif,,1,,,,,,,,,
PB,BATHINDA,Bajra,Kharif,,,,1,,,0.5,1,1,,
PB,FAZILKA,Bajra,Kharif,,,1,,,,,0.5,1,,
PB,FIROZEPUR,Bajra,Kharif,1,,,,,,,,,,
PB,KAPURTHALA,Bajra,Kharif,,1,,,,,,,,,
PB,LUDHIANA,Bajra,Kharif,,,,1,,,,,,,
PB,MANSA,Bajra,Kharif,1,1,1,1,,,0.6,0.6,0.5,,
PB,MUKTSAR,Bajra,Kharif,,,,1,,,,,,,
PB,RUPNAGAR,Bajra,Kharif,,,,,,,,,0.5,,
PB,S,Bajra,Kharif,,,1,,,,,,,,
PB,SANGRUR,Bajra,Kharif,1,,,1,,,,0.5,1,,
