State,District,Crop,Season,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
AR,DIBANG VALLEY,Arhar/Tur,Kharif,,,,,,,0.5769230769230769,0.625,0.625,,
AR,EAST KAMENG,Arhar/Tur,Kharif,,,,,,,0.918918918918919,0.95,0.95,,
AR,EAST SIANG,Arhar/Tur,Kharif,,,,,,,0.9365079365079365,0.8823529411764706,0.8823529411764706,,
AR,KAMLE,Arhar/Tur,Kharif,,,,,,,,,0.8,,
AR,LOHIT,Arhar/Tur,Kharif,,,,,,,0.5384615384615384,0.9333333333333333,0.9333333333333333,,
AR,LONGDING,Arhar/Tur,Kharif,,,,,,,0.32142857142857145,0.3333333333333333,0.3333333333333333,,
AR,LOWER DIBANG VALLEY,Arhar/Tur,Kharif,,,,,,,0.898876404494382,0.9473684210526315,0.9473684210526315,,
AR,LOWER SIANG,Arhar/Tur,Kharif,,,,,,,,,1,,
AR,LOWER SUBANSIRI,Arhar/Tur,Kharif,,,,,,,0.9130434782608695,0.7592592592592593,1.025,,
AR,NAMSAI,Arhar/Tur,Kharif,,,,,,,0.6176470588235294,0.42,0.42,,
AR,PAPUM PARE,Arhar/Tur,Kharif,,,,,,,1.1129032258064515,0.9857142857142858,0.9857142857142858,,
AR,SIANG,Arhar/Tur,Kharif,,,,,,,0.6567164179104478,0.7049180327868853,0.7049180327868853,,
AR,TIRAP,Arhar/Tur,Kharif,,,,,,,0.4634146341463415,0.5428571428571428,0.5428571428571428,,
AR,UPPER SIANG,Arhar/Tur,Kharif,,,,,,,0.9157894736842105,0.9347826086956522,0.9347826086956522,,
AR,UPPER SUBANSIRI,Arhar/Tur,Kharif,,,,,,,0.9032258064516129,1.0847457627118644,1.3846153846153846,,
AR,WEST SIANG,Arhar/Tur,Kharif,,,,,,,0.8823529411764706,0.8,1.1111111111111112,,
AR,ANJAW,Dry chillies,Whole Year,1.5,1.5909090909090908,4,3.9583333333333335,2.0357142857142856,3.0714285714285716,2.9298245614035086,3.0833333333333335,3.1166666666666667,,
AR,CHANGLANG,Dry chillies,Whole Year,1.52,1.5913705583756346,1.5,3.5,3.3956343792633015,3.3956343792633015,3.372703412073491,3.3697916666666665,3.3723958333333335,,
AR,DIBANG VALLEY,Dry chillies,Whole Year,1.9,2,2.234042553191489,2.3877551020408165,1.3166666666666667,1.9333333333333333,2.2134831460674156,2.3369565217391304,2.358695652173913,,
AR,EAST KAMENG,Dry chillies,Whole Year,1.6,1.6666666666666667,1.81,1.8461538461538463,1.3391304347826087,2.9391304347826086,2.9097222222222223,2.9727891156462585,2.9863945578231292,,
AR,EAST SIANG,Dry chillies,Whole Year,1.1,1.1549295774647887,1.102803738317757,1.1288888888888888,0.9152542372881356,3.1488372093023256,3.1065573770491803,3.104,2.857894736842105,,
AR,KAMLE,Dry chillies,Whole Year,,,,,,,,,2.688679245283019,,
AR,KRA DAADI,Dry chillies,Whole Year,,,,,,1.9,2.0628930817610063,2.1358024691358026,2.1481481481481484,,
AR,KURUNG KUMEY,Dry chillies,Whole Year,0.3,0.36363636363636365,0.45454545454545453,,,1.9857142857142858,2.2222222222222223,2.3333333333333335,2.3529411764705883,,
AR,LOHIT,Dry chillies,Whole Year,1.7333333333333334,1.8157894736842106,2.4,2.46,2.0559006211180124,2.828125,2.817204301075269,2.9166666666666665,2.9375,,
AR,LONGDING,Dry chillies,Whole Year,,,,8.10204081632653,5.983333333333333,3.3,3.134831460674157,3.2282608695652173,3.25,,
AR,LOWER DIBANG VALLEY,Dry chillies,Whole Year,1.0921052631578947,1.1149425287356323,1.105263157894737,2.4,1.8677685950413223,2.818713450292398,2.815,2.8620689655172415,2.87192118226601,,
AR,LOWER SIANG,Dry chillies,Whole Year,,,,,,,,,2.872340425531915,,
AR,LOWER SUBANSIRI,Dry chillies,Whole Year,1.6888888888888889,1.769736842105263,1.769736842105263,1.75,1.3987730061349692,2.8220858895705523,2.8177083333333335,2.8666666666666667,2.877862595419847,,
AR,NAMSAI,Dry chillies,Whole Year,,,,,,2.865979381443299,2.8492063492063493,2.9224806201550386,2.937984496124031,,
AR,PAPUM PARE,Dry chillies,Whole Year,6.403225806451613,6.685714285714286,6.701298701298701,7.5,6.197802197802198,3.4065934065934065,3.2892561983471076,3.2755905511811023,3.2913385826771653,,
AR,SIANG,Dry chillies,Whole Year,,,,,,2.9834710743801653,2.9466666666666668,3.0065359477124183,3.019607843137255,,
AR,TAWANG,Dry chillies,Whole Year,2.3066666666666666,2.4285714285714284,2.3066666666666666,2.3066666666666666,1.569767441860465,2.0930232558139537,2.2695652173913046,2.4237288135593222,2.440677966101695,,
AR,TIRAP,Dry chillies,Whole Year,1.8513513513513513,1.9397590361445782,8,8.114285714285714,5.3478260869565215,2.760869565217391,2.7733333333333334,2.8974358974358974,2.923076923076923,,
AR,UPPER SIANG,Dry chillies,Whole Year,0.6,0.6293436293436293,0.8,6.5,6.073929961089494,1.961089494163424,2.0454545454545454,2.110726643598616,2.1176470588235294,,
AR,UPPER SUBANSIRI,Dry chillies,Whole Year,1.6024096385542168,1.679144385026738,1.868020304568528,1.981981981981982,1.7253218884120172,2.236051502145923,2.2977099236641223,2.339622641509434,2.3452914798206277,,
AR,WEST KAMENG,Dry chillies,Whole Year,3.6842105263157894,3.875,,3.793103448275862,2.63768115942029,2.9130434782608696,2.877551020408163,2.9702970297029703,2.99009900990099,,
AR,WEST SIANG,Dry chillies,Whole Year,1.5903614457831325,1.6631016042780749,1.622340425531915,1.6263157894736842,1.3482587064676617,2.6026490066225167,2.6333333333333333,2.6885245901639343,2.72,,
AR,ANJAW,Ginger,Whole Year,8,8.05084745762712,8.166666666666666,8.166666666666666,20.158730158730158,4.714285714285714,5.031746031746032,4.731343283582089,4.82089552238806,,
AR,CHANGLANG,Ginger,Whole Year,7.2,7.214904679376083,7.73,7.7306930693069305,7.08445945945946,7.409090909090909,7.409090909090909,7.251736111111111,7.262152777777778,,
AR,DIBANG VALLEY,Ginger,Whole Year,4,4.133333333333334,2.738095238095238,2.865168539325843,3.096590909090909,4.7756410256410255,4.903846153846154,4.78125,4.81875,,
AR,EAST KAMENG,Ginger,Whole Year,4.066666666666666,4.064516129032258,4.096774193548387,4.117647058823529,3.6774193548387095,4.548148148148148,4.696296296296296,4.561151079136691,4.60431654676259,,
AR,EAST SIANG,Ginger,Whole Year,9.761245674740485,9.78387458006719,9.158906882591094,8.962450592885375,8.628158844765343,7.673447537473233,7.568109820485745,7.4742376445846475,7.366818873668189,,
AR,KAMLE,Ginger,Whole Year,,,,,,,,,5.984,,
AR,KRA DAADI,Ginger,Whole Year,,,,,,6.176470588235294,7.352941176470588,5.9523809523809526,6.238095238095238,,
AR,KURUNG KUMEY,Ginger,Whole Year,6.95,7.15,6.904761904761905,6.8,4.88,5.642857142857143,7.071428571428571,5.5,5.833333333333333,,
AR,LOHIT,Ginger,Whole Year,8.960406091370558,8.977339901477832,9.050731707317073,9.069565217391304,8.803030303030303,8.666666666666666,7.883870967741935,7.314465408805032,7.352201257861635,,
AR,LONGDING,Ginger,Whole Year,,,,8.176470588235293,5.897435897435898,7.0256410256410255,7.0256410256410255,6.372093023255814,6.511627906976744,,
AR,LOWER DIBANG VALLEY,Ginger,Whole Year,7.5,7.520229265003372,8,8,7.8676230844473425,7.89036431733061,7.8529312097594035,7.727918781725888,7.72994923857868,,
AR,LOWER SIANG,Ginger,Whole Year,,,,,,,,,7.360189573459715,,
AR,LOWER SUBANSIRI,Ginger,Whole Year,5.648936170212766,5.649484536082475,5.649484536082475,5.645833333333333,4.917562724014337,5.467181467181467,5.544401544401544,5.4600760456273765,5.5,,
AR,NAMSAI,Ginger,Whole Year,,,,,,8.392904073587385,8.241290322580646,7.735969387755102,7.7436224489795915,,
AR,PAPUM PARE,Ginger,Whole Year,10.25,5.882352941176471,9.901785714285714,9.6,7.25,8.141509433962264,7.6371681415929205,7.504347826086956,7.530434782608696,,
AR,SIANG,Ginger,Whole Year,,,,,,7.991051454138702,7.748373101952278,7.16989247311828,7.052631578947368,,
AR,TAWANG,Ginger,Whole Year,2.5,2.4761904761904763,2.5,2.5,3.269230769230769,3.3666666666666667,3.558333333333333,3.443548387096774,3.4919354838709675,,
AR,TIRAP,Ginger,Whole Year,2.65,2.658536585365854,8,8.181818181818182,6.428571428571429,8,5.333333333333333,4.869565217391305,5,,
AR,UPPER SIANG,Ginger,Whole Year,6,6.046511627906977,6.502222222222223,6.6,5.685534591194968,4.0134228187919465,4.080536912751678,4.83112582781457,4.8509933774834435,,
AR,UPPER SUBANSIRI,Ginger,Whole Year,9.458646616541353,9.271428571428572,9,9.223684210526315,7.109243697478991,7.963302752293578,7.482758620689655,7.1059322033898304,7.146464646464646,,
AR,WEST KAMENG,Ginger,Whole Year,3.627450980392157,3.5849056603773586,3.627450980392157,3.72,3.4744525547445257,4.615384615384615,4.786324786324786,4.628099173553719,4.677685950413223,,
AR,WEST SIANG,Ginger,Whole Year,9.620805369127517,9.64169381107492,9.8801261829653,6.356521739130435,6.157728706624606,8.016483516483516,7.4438775510204085,7,7.073170731707317,,
AR,ANJAW,Groundnut,Kharif,,,,,,,1.1666666666666667,1.15625,1.15625,,
AR,CHANGLANG,Groundnut,Kharif,,,,,,,0.4548611111111111,2.8,2.8,,
AR,DIBANG VALLEY,Groundnut,Kharif,,,,,,,0.8648648648648649,0.8717948717948718,0.8717948717948718,,
AR,EAST SIANG,Groundnut,Kharif,,,,,,,1.5490196078431373,0.9622641509433962,0.9636363636363636,,
AR,KRA DAADI,Groundnut,Kharif,,,,,,,1.1428571428571428,1.1818181818181819,1.1818181818181819,,
AR,KURUNG KUMEY,Groundnut,Kharif,,,,,,,1.1666666666666667,1.2222222222222223,1.2222222222222223,,
AR,LOHIT,Groundnut,Kharif,,,,,,,1.1538461538461537,1.1333333333333333,1.1333333333333333,,
AR,LOWER DIBANG VALLEY,Groundnut,Kharif,,,,,,,1.8,0.5310734463276836,0.5310734463276836,,
AR,LOWER SUBANSIRI,Groundnut,Kharif,,,,,,,1,1.4166666666666667,1.4166666666666667,,
AR,NAMSAI,Groundnut,Kharif,,,,,,,2.1323529411764706,0.20430107526881722,0.20430107526881722,,
AR,PAPUM PARE,Groundnut,Kharif,,,,,,,0.8672566371681416,0.6898395721925134,0.6898395721925134,,
AR,SIANG,Groundnut,Kharif,,,,,,,0.7,3.1363636363636362,3.1363636363636362,,
AR,UPPER SUBANSIRI,Groundnut,Kharif,,,,,,,1.0851063829787233,1.0816326530612246,1.0816326530612246,,
AR,WEST SIANG,Groundnut,Kharif,,,,,,,1.4,1.3333333333333333,1.3333333333333333,,
AR,ANJAW,Maize,Kharif,1.3,1.3334269662921348,0.9724655819774718,1.0806675938803894,2.478294573643411,2.447940074906367,2.328368794326241,2.349128919860627,2.3601108033241,,
AR,CHANGLANG,Maize,Kharif,1.3,1.3337091319052987,1.2,1.2204545454545455,1.561904761904762,1.5626262626262626,1.4629107981220657,1.510091743119266,1.5313921747042767,,
